x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009,x0010,y0010,x0011,y0011,x0012,y0012,x0013,y0013,x0014,y0014
,,,,,,,,,,,,,,157.,-0.0314941406,,,157.,-0.1265015602,157.,-0.1676009893,,,,,,,,
,,,,,,,,,,,,,,158.,-0.0313720703,,,158.,-0.1008237600,158.,-0.1675498486,,,,,,,,
,,,,,,,,,,,,,,159.,-0.0316162109,,,159.,0.0624580979,159.,-0.1673013568,,,,,,,,
,,,,,,,,,,,,,,160.,-0.0318603516,,,160.,0.1231315136,160.,-0.1672724485,,,,,,,,
,,,,,,,,,,,,,,161.,-0.0318603516,,,161.,0.0433425903,161.,-0.1673737168,,,,,,,,
,,,,,,,,,,,,,,162.,-0.0316162109,,,162.,-0.0708578229,162.,-0.1675215364,,,,,,,,
,,,,,,,,,,,,,,163.,-0.0313720703,,,163.,-0.1296241283,163.,-0.1675588489,,,,,,,,
,,,,,,,,,,,,,,164.,-0.0313720703,,,164.,-0.0876035690,164.,-0.1675221324,,,,,,,,
,,,,,,,,,,,,,,165.,-0.0314941406,,,165.,0.0215240121,165.,-0.1673481464,,,,,,,,
,,,,,,,,,,,,,,166.,-0.0317382812,,,166.,0.1142526269,166.,-0.1672669649,,,,,,,,
,,,,,,,,,,,,,,167.,-0.0318603516,,,167.,0.1220872402,167.,-0.1672729254,,,,,,,,
,,,,,,,,,,,,,,168.,-0.0317382812,,,168.,-0.024456203,168.,-0.167491138,,,,,,,,
,,,,,,,,,,,,,,169.,-0.0314941406,,,169.,-0.1148830652,169.,-0.1675856113,,,,,,,,
,,,,,,,,,,,,,,170.,-0.0313720703,,,170.,-0.1188259721,170.,-0.16755265,,,,,,,,
,,,,,,,,,,,,,,171.,-0.0314941406,,,171.,-0.0268750787,171.,-0.1674104333,,,,,,,,
,,,,,,,,,,,,,,172.,-0.0316162109,,,172.,0.0829217434,172.,-0.1673113704,,,,,,,,
,,,,,,,,,,,,,,173.,-0.0318603516,,,173.,0.1290017366,173.,-0.1672638059,,,,,,,,
,,,,,,,,,,,,,,174.,-0.0318603516,,,174.,0.0754185915,174.,-0.1673471928,,,,,,,,
,,,,,,,,,,,,,,175.,-0.0314941406,,,175.,-0.0936529636,175.,-0.1675438285,,,,,,,,
,,,,,,,,,,,,,,176.,-0.0313720703,,,176.,-0.1284107566,176.,-0.1675764322,,,,,,,,
,,,,,,,,,,,,,,177.,-0.0313720703,,,177.,-0.0637027621,177.,-0.1674695611,,,,,,,,
,,,,,,,,,,,,,,178.,-0.0316162109,,,178.,0.0471087098,178.,-0.1673277020,,,,,,,,
,,,,,,,,,,,,,,179.,-0.0318603516,,,179.,0.1234806776,179.,-0.1672611833,,,,,,,,
,,,,,,,,,,,,,,180.,-0.0318603516,,,180.,0.1079518795,180.,-0.1673381925,,,,,,,,
,,,,,,,,,,,,,,181.,-0.0317382812,,,181.,0.0069822073,181.,-0.167421639,,,,,,,,
,,,,,,,,,,,,,,182.,-0.0314941406,,,182.,-0.0984590054,182.,-0.167583406,,,,,,,,
,,,,,,,,,,,,,,183.,-0.0313720703,,,183.,-0.0989399552,183.,-0.1675248146,,,,,,,,
,,,,,,,,,,,,,,184.,-0.0314941406,,,184.,-0.0006085634,184.,-0.1673941016,,,,,,,,
,,,,,,,,,,,,,,185.,-0.0317382812,,,185.,0.1004076600,185.,-0.1672748923,,,,,,,,
,,,,,,,,,,,,,,186.,-0.0318603516,,,186.,0.1270766854,186.,-0.1672469974,,,,,,,,
,,,,,,,,,,,,,,187.,-0.0318603516,,,187.,0.064624846,187.,-0.1673443317,,,,,,,,
,,,,,,,,,,,,,,188.,-0.0316162109,,,188.,-0.0420771241,188.,-0.1675128341,,,,,,,,
,,,,,,,,,,,,,,189.,-0.0314941406,,,189.,-0.122181654,189.,-0.1675950289,,,,,,,,
,,,,,,,,,,,,,,190.,-0.0313720703,,,190.,-0.0620437264,190.,-0.1674735546,,,,,,,,
,,,,,,,,,,,,,,191.,-0.0316162109,,,191.,0.0549537539,191.,-0.1673143506,,,,,,,,
,,,,,,,,,,,,,,192.,-0.0318603516,,,192.,0.1246863008,192.,-0.167270124,,,,,,,,
,,,,,,,,,,,,,,193.,-0.0317382812,,,193.,0.0497508049,193.,-0.1673765779,,,,,,,,
,,,,,,,,,,,,,,194.,-0.0314941406,,,194.,-0.1068040729,194.,-0.1675576568,,,,,,,,
,,,,,,,,,,,,,,195.,-0.0313720703,,,195.,-0.1230059266,195.,-0.1675649881,,,,,,,,
,,,,,,,,,,,,,,196.,-0.0314941406,,,196.,0.0180572271,196.,-0.1673473716,,,,,,,,
,,,,,,,,,,,,,,197.,-0.0317382812,,,197.,0.1142199636,197.,-0.1672707796,,,,,,,,
,,,,,,,,,,,,,,198.,-0.0318603516,,,198.,0.0777789950,198.,-0.1673479080,,,,,,,,
,,,,,,,,,,,,,,199.,-0.0316162109,,,199.,-0.0366123319,199.,-0.1675059199,,,,,,,,
,,,,,,,,,,,,,,200.,-0.0314941406,,,200.,-0.1213297844,200.,-0.1675881147,,,,,,,,
,,,,,,,,,,,,,,201.,-0.0313720703,,,201.,-0.108104527,201.,-0.1675428748,,,,,,,,
,,,,,,,,,,,,,,202.,-0.0314941406,,,202.,-0.0111304522,202.,-0.1674261093,,,,,,,,
,,,,,,,,,,,,,,203.,-0.0317382812,,,203.,0.1050106287,203.,-0.1672719717,,,,,,,,
,,,,,,,,,,,,,,204.,-0.0318603516,,,204.,0.0866428614,204.,-0.1673375964,,,,,,,,
,,,,,,,,,,,,,,205.,-0.0317382812,,,205.,-0.0213851929,205.,-0.1674918532,,,,,,,,
,,,,,,,,,,,,,,206.,-0.0313720703,,,206.,-0.1299336553,206.,-0.1676024199,,,,,,,,
,,,,,,,,,,,,,,207.,-0.0313720703,,,207.,-0.0731859207,207.,-0.1674969196,,,,,,,,
,,,,,,,,,,,,,,208.,-0.0317382812,,,208.,0.1043164730,208.,-0.1672798991,,,,,,,,
,,,,,,,,,,,,,,209.,-0.0318603516,,,209.,0.1220887899,209.,-0.1673033834,,,,,,,,
,,,,,,,,,,,,,,210.,-0.0316162109,,,210.,-0.0273581147,210.,-0.1674847603,,,,,,,,
,,,,,,,,,,,,,,211.,-0.0314941406,,,211.,-0.1230012774,211.,-0.1675946712,,,,,,,,
,,,,,,,,,,,,,,212.,-0.0313720703,,,212.,-0.1057180762,212.,-0.1675438881,,,,,,,,
,,,,,,,,,,,,,,213.,-0.0316162109,,,213.,0.0670976043,213.,-0.1673128605,,,,,,,,
,,,,,,,,,,,,,,214.,-0.0318603516,,,214.,0.129072547,214.,-0.1672305465,,,,,,,,
,,,,,,,,,,,,,,215.,-0.0317382812,,,215.,0.0172450542,215.,-0.1674349904,,,,,,,,
,,,,,,,,,,,,,,216.,-0.0314941406,,,216.,-0.0897353292,216.,-0.1675534844,,,,,,,,
,,,,,,,,,,,,,,217.,-0.0313720703,,,217.,-0.1003617644,217.,-0.1675480604,,,,,,,,
,,,,,,,,,,,,,,218.,-0.0314941406,,,218.,0.0065364242,218.,-0.1673873067,,,,,,,,
,,,,,,,,,,,,,,219.,-0.0318603516,,,219.,0.1292378306,219.,-0.1672756076,,,,,,,,
,,,,,,,,,,,,,,220.,-0.0318603516,,,220.,0.0788498521,220.,-0.1673320532,,,,,,,,
,,,,,,,,,,,,,,221.,-0.0314941406,,,221.,-0.0956070423,221.,-0.1675942540,,,,,,,,
,,,,,,,,,,,,,,222.,-0.0313720703,,,222.,-0.1275412440,222.,-0.1675907373,,,,,,,,
,,,,,,,,,,,,,,223.,-0.0314941406,,,223.,0.0170433521,223.,-0.1673704386,,,,,,,,
,,,,,,,,,,,,,,224.,-0.0317382812,,,224.,0.1135632992,224.,-0.1672574878,,,,,,,,
,,,,,,,,,,,,,,225.,-0.0318603516,,,225.,0.0738830566,225.,-0.1673608422,,,,,,,,
,,,,,,,,,,,,,,226.,-0.0314941406,,,226.,-0.0956634879,226.,-0.1675668955,,,,,,,,
,,,,,,,,,,,,,,227.,-0.0313720703,,,227.,-0.1267969012,227.,-0.1675833464,,,,,,,,
,,,,,,,,,,,,,,228.,-0.0314941406,,,228.,0.0122965574,228.,-0.1674018502,,,,,,,,
,,,,,,,,,,,,,,229.,-0.0317382812,,,229.,0.1109141707,229.,-0.1672610044,,,,,,,,
,,,,,,,,,,,,,,230.,-0.0318603516,,,230.,0.0828324556,230.,-0.1673054695,,,,,,,,
,,,,,,,,,,,,,,231.,-0.0316162109,,,231.,-0.0369716883,231.,-0.1674678326,,,,,,,,
,,,,,,,,,,,,,,232.,-0.0313720703,,,232.,-0.1275534034,232.,-0.1675950289,,,,,,,,
,,,,,,,,,,,,,,233.,-0.0313720703,,,233.,-0.0556007028,233.,-0.1674938798,,,,,,,,
,,,,,,,,,,,,,,234.,-0.0318603516,,,234.,0.1292166114,234.,-0.1672407985,,,,,,,,
,,,,,,,,,,,,,,235.,-0.0318603516,,,235.,0.0721784234,235.,-0.1673520803,,,,,,,,
,,,,,,,,,,,,,,236.,-0.0314941406,,,236.,-0.0977224708,236.,-0.1675817370,,,,,,,,
