x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009,x0010,y0010,x0011,y0011,x0012,y0012,x0013,y0013,x0014,y0014
,,,,,,,,,,,,,,136.,0.0305175781,,,136.,-0.1668067575,136.,-0.0608401895,,,,,,,,
,,,,,,,,,,,,,,137.,0.0302734375,,,137.,-0.1668119431,137.,-0.0886904001,,,,,,,,
,,,,,,,,,,,,,,138.,0.0303955078,,,138.,-0.1665325761,138.,0.0673035383,,,,,,,,
,,,,,,,,,,,,,,139.,0.0306396484,,,139.,-0.1665847898,139.,0.0810759068,,,,,,,,
,,,,,,,,,,,,,,140.,0.0305175781,,,140.,-0.1668274999,140.,-0.0794674754,,,,,,,,
,,,,,,,,,,,,,,141.,0.0302734375,,,141.,-0.1668944359,141.,-0.1254997849,,,,,,,,
,,,,,,,,,,,,,,142.,0.0303955078,,,142.,-0.166505456,142.,0.0839492083,,,,,,,,
,,,,,,,,,,,,,,143.,0.0306396484,,,143.,-0.1665026546,143.,0.1216189265,,,,,,,,
,,,,,,,,,,,,,,144.,0.0306396484,,,144.,-0.1667366624,144.,-0.0069306493,,,,,,,,
,,,,,,,,,,,,,,145.,0.0302734375,,,145.,-0.1668803096,145.,-0.1156697869,,,,,,,,
,,,,,,,,,,,,,,146.,0.0305175781,,,146.,-0.1664642096,146.,0.0941845179,,,,,,,,
,,,,,,,,,,,,,,147.,0.0306396484,,,147.,-0.1664986610,147.,0.1129622459,,,,,,,,
,,,,,,,,,,,,,,148.,0.0305175781,,,148.,-0.1668735147,148.,-0.0952099562,,,,,,,,
,,,,,,,,,,,,,,149.,0.0303955078,,,149.,-0.1668601632,149.,-0.1142324209,,,,,,,,
,,,,,,,,,,,,,,150.,0.0303955078,,,150.,-0.1666187644,150.,0.0208855867,,,,,,,,
,,,,,,,,,,,,,,151.,0.0306396484,,,151.,-0.1665318012,151.,0.1117749214,,,,,,,,
,,,,,,,,,,,,,,152.,0.0305175781,,,152.,-0.1668568254,152.,-0.0994962454,,,,,,,,
,,,,,,,,,,,,,,153.,0.0302734375,,,153.,-0.1668468118,153.,-0.1107150912,,,,,,,,
,,,,,,,,,,,,,,154.,0.0305175781,,,154.,-0.1664869785,154.,0.1042007208,,,,,,,,
,,,,,,,,,,,,,,155.,0.0306396484,,,155.,-0.1664947867,155.,0.1039123535,,,,,,,,
,,,,,,,,,,,,,,156.,0.0305175781,,,156.,-0.166859746,156.,-0.1075790524,,,,,,,,
,,,,,,,,,,,,,,157.,0.0302734375,,,157.,-0.1668450236,157.,-0.1057196259,,,,,,,,
,,,,,,,,,,,,,,158.,0.0303955078,,,158.,-0.1665551662,158.,0.0400463939,,,,,,,,
,,,,,,,,,,,,,,159.,0.0306396484,,,159.,-0.1665226817,159.,0.1034843922,,,,,,,,
,,,,,,,,,,,,,,160.,0.0305175781,,,160.,-0.1667813063,160.,-0.0457754135,,,,,,,,
,,,,,,,,,,,,,,161.,0.0302734375,,,161.,-0.1668499112,161.,-0.1066859365,,,,,,,,
,,,,,,,,,,,,,,162.,0.0303955078,,,162.,-0.1665692925,162.,0.0457645655,,,,,,,,
,,,,,,,,,,,,,,163.,0.0306396484,,,163.,-0.1664668918,163.,0.1298719049,,,,,,,,
,,,,,,,,,,,,,,164.,0.0305175781,,,164.,-0.1668051481,164.,-0.0623677373,,,,,,,,
,,,,,,,,,,,,,,165.,0.0303955078,,,165.,-0.1668606400,165.,-0.1287554502,,,,,,,,
,,,,,,,,,,,,,,166.,0.0303955078,,,166.,-0.1665256619,166.,0.0696061254,,,,,,,,
,,,,,,,,,,,,,,167.,0.0306396484,,,167.,-0.1664501429,167.,0.126621902,,,,,,,,
,,,,,,,,,,,,,,168.,0.0305175781,,,168.,-0.1667948365,168.,-0.0665150881,,,,,,,,
,,,,,,,,,,,,,,169.,0.0303955078,,,169.,-0.166893065,169.,-0.1269350052,,,,,,,,
,,,,,,,,,,,,,,170.,0.0303955078,,,170.,-0.1666409969,170.,-0.0111393332,,,,,,,,
,,,,,,,,,,,,,,171.,0.0305175781,,,171.,-0.1664865613,171.,0.1197064519,,,,,,,,
,,,,,,,,,,,,,,172.,0.0306396484,,,172.,-0.1665441394,172.,0.0893818736,,,,,,,,
,,,,,,,,,,,,,,173.,0.0305175781,,,173.,-0.1668262482,173.,-0.0637270808,,,,,,,,
,,,,,,,,,,,,,,174.,0.0303955078,,,174.,-0.1668985486,174.,-0.1282789111,,,,,,,,
,,,,,,,,,,,,,,175.,0.0302734375,,,175.,-0.1666679978,175.,-0.0142750144,,,,,,,,
,,,,,,,,,,,,,,176.,0.0305175781,,,176.,-0.1664667726,176.,0.117110312,,,,,,,,
,,,,,,,,,,,,,,177.,0.0306396484,,,177.,-0.1667293906,177.,-0.0008944273,,,,,,,,
,,,,,,,,,,,,,,178.,0.0303955078,,,178.,-0.1668803692,178.,-0.1227968335,,,,,,,,
,,,,,,,,,,,,,,179.,0.0303955078,,,179.,-0.1667859554,179.,-0.0807687044,,,,,,,,
,,,,,,,,,,,,,,180.,0.0303955078,,,180.,-0.1665120721,180.,0.0651006699,,,,,,,,
,,,,,,,,,,,,,,181.,0.0306396484,,,181.,-0.1664609313,181.,0.1286643744,,,,,,,,
,,,,,,,,,,,,,,182.,0.0306396484,,,182.,-0.1666622162,182.,0.0252786875,,,,,,,,
,,,,,,,,,,,,,,183.,0.0302734375,,,183.,-0.1668851376,183.,-0.1285508275,,,,,,,,
,,,,,,,,,,,,,,184.,0.0302734375,,,184.,-0.1666740179,184.,-0.0268986225,,,,,,,,
,,,,,,,,,,,,,,185.,0.0305175781,,,185.,-0.1664702296,185.,0.111995101,,,,,,,,
,,,,,,,,,,,,,,186.,0.0306396484,,,186.,-0.1665042639,186.,0.0986829996,,,,,,,,
,,,,,,,,,,,,,,187.,0.0305175781,,,187.,-0.1667851806,187.,-0.0480188131,,,,,,,,
,,,,,,,,,,,,,,188.,0.0303955078,,,188.,-0.1669040322,188.,-0.130494833,,,,,,,,
,,,,,,,,,,,,,,189.,0.0303955078,,,189.,-0.1666045785,189.,0.0349770784,,,,,,,,
,,,,,,,,,,,,,,190.,0.0305175781,,,190.,-0.1664655805,190.,0.1295976639,,,,,,,,
,,,,,,,,,,,,,,191.,0.0306396484,,,191.,-0.1666239500,191.,0.0510425568,,,,,,,,
,,,,,,,,,,,,,,192.,0.0303955078,,,192.,-0.1668655872,192.,-0.0978578925,,,,,,,,
,,,,,,,,,,,,,,193.,0.0302734375,,,193.,-0.1668424606,193.,-0.1163682342,,,,,,,,
,,,,,,,,,,,,,,194.,0.0303955078,,,194.,-0.1666271687,194.,0.0124163032,,,,,,,,
,,,,,,,,,,,,,,195.,0.0305175781,,,195.,-0.1664546132,195.,0.1247473955,,,,,,,,
,,,,,,,,,,,,,,196.,0.0306396484,,,196.,-0.1665419936,196.,0.0798829794,,,,,,,,
,,,,,,,,,,,,,,197.,0.0305175781,,,197.,-0.1667780876,197.,-0.0587861538,,,,,,,,
,,,,,,,,,,,,,,198.,0.0302734375,,,198.,-0.1668931246,198.,-0.1270511150,,,,,,,,
,,,,,,,,,,,,,,199.,0.0302734375,,,199.,-0.1666761041,199.,-0.0218045712,,,,,,,,
,,,,,,,,,,,,,,200.,0.0305175781,,,200.,-0.1664691567,200.,0.1061643958,,,,,,,,
,,,,,,,,,,,,,,201.,0.0306396484,,,201.,-0.1665163040,201.,0.0983725190,,,,,,,,
